,Day/Eve,Number 1,Number 2,Number 3,Date
2346,E,7.0,0.0,4.0,2016-04-09
2348,E,9.0,9.0,4.0,2016-04-08
2350,E,0.0,1.0,5.0,2016-04-07
2352,E,9.0,5.0,0.0,2016-04-06
2354,E,4.0,7.0,0.0,2016-04-05
2356,E,6.0,5.0,6.0,2016-04-04
2358,E,0.0,8.0,3.0,2016-04-03
2360,E,5.0,4.0,2.0,2016-04-02
2362,E,2.0,6.0,0.0,2016-04-01
2364,E,1.0,3.0,5.0,2016-03-31
2366,E,5.0,3.0,3.0,2016-03-30
2368,E,2.0,1.0,3.0,2016-03-29
2370,E,0.0,2.0,4.0,2016-03-28
2372,E,7.0,7.0,4.0,2016-03-27
2374,E,3.0,6.0,9.0,2016-03-26
2375,E,7.0,5.0,0.0,2016-03-26
2377,E,6.0,3.0,6.0,2016-03-25
2379,E,3.0,5.0,7.0,2016-03-24
2380,E,6.0,4.0,2.0,2016-03-24
2382,E,5.0,4.0,5.0,2016-03-23
2384,E,4.0,8.0,5.0,2016-03-22
2386,E,1.0,4.0,5.0,2016-03-21
2388,E,6.0,2.0,4.0,2016-03-20
2390,E,5.0,3.0,1.0,2016-03-19
2392,E,1.0,9.0,4.0,2016-03-18
2394,E,9.0,1.0,4.0,2016-03-17
2395,E,8.0,0.0,1.0,2016-03-17
2397,E,2.0,9.0,2.0,2016-03-16
2398,E,6.0,7.0,6.0,2016-03-16
2400,E,1.0,8.0,3.0,2016-03-15
2402,E,6.0,5.0,6.0,2016-03-14
2404,E,0.0,0.0,5.0,2016-03-13
2406,E,3.0,5.0,2.0,2016-03-12
2408,E,5.0,3.0,4.0,2016-03-11
2410,E,4.0,4.0,2.0,2016-03-10
2411,E,3.0,7.0,4.0,2016-03-10
2413,E,5.0,5.0,1.0,2016-03-09
2415,E,7.0,1.0,9.0,2016-03-08
2417,E,1.0,8.0,7.0,2016-03-07
2419,E,7.0,1.0,9.0,2016-03-06
2420,E,1.0,4.0,5.0,2016-03-06
2422,E,3.0,7.0,4.0,2016-03-05
2424,E,8.0,3.0,1.0,2016-03-04
2425,E,7.0,3.0,7.0,2016-03-04
2427,E,4.0,5.0,4.0,2016-03-03
2428,E,8.0,4.0,4.0,2016-03-03
2430,E,7.0,9.0,2.0,2016-03-02
2432,E,5.0,3.0,2.0,2016-03-01
2433,E,6.0,4.0,9.0,2016-03-01
2435,E,7.0,7.0,3.0,2016-02-29
2437,E,5.0,7.0,6.0,2016-02-28
2439,E,8.0,8.0,2.0,2016-02-27
2441,E,9.0,6.0,9.0,2016-02-26
2443,E,8.0,3.0,5.0,2016-02-25
2445,E,1.0,3.0,9.0,2016-02-24
2447,E,0.0,9.0,5.0,2016-02-23
2449,E,8.0,0.0,6.0,2016-02-22
2451,E,3.0,7.0,5.0,2016-02-21
2453,E,8.0,5.0,0.0,2016-02-20
2455,E,4.0,8.0,9.0,2016-02-19
2457,E,8.0,4.0,8.0,2016-02-18
2459,E,9.0,1.0,2.0,2016-02-17
2461,E,4.0,5.0,3.0,2016-02-16
2463,E,5.0,2.0,3.0,2016-02-15
2465,E,7.0,9.0,2.0,2016-02-14
2467,E,0.0,2.0,1.0,2016-02-13
2469,E,6.0,6.0,2.0,2016-02-12
2471,E,7.0,6.0,4.0,2016-02-11
2473,E,3.0,0.0,1.0,2016-02-10
2475,E,0.0,1.0,2.0,2016-02-09
2477,E,1.0,4.0,8.0,2016-02-08
2479,E,1.0,0.0,6.0,2016-02-07
2481,E,0.0,4.0,8.0,2016-02-06
2483,E,8.0,4.0,3.0,2016-02-05
2485,E,0.0,3.0,6.0,2016-02-04
2487,E,8.0,7.0,4.0,2016-02-03
2489,E,4.0,0.0,3.0,2016-02-02
2491,E,1.0,2.0,2.0,2016-02-01
2493,E,0.0,8.0,5.0,2016-01-31
2495,E,1.0,5.0,8.0,2016-01-30
2497,E,5.0,5.0,4.0,2016-01-29
2499,E,1.0,0.0,3.0,2016-01-28
2501,E,4.0,9.0,5.0,2016-01-27
2503,E,8.0,6.0,3.0,2016-01-26
2505,E,8.0,3.0,1.0,2016-01-25
2507,E,4.0,0.0,9.0,2016-01-24
2509,E,5.0,9.0,2.0,2016-01-23
2511,E,6.0,4.0,8.0,2016-01-22
2513,E,3.0,7.0,5.0,2016-01-21
2515,E,5.0,8.0,0.0,2016-01-20
2517,E,0.0,2.0,7.0,2016-01-19
2519,E,3.0,9.0,1.0,2016-01-18
2521,E,8.0,6.0,6.0,2016-01-17
2523,E,6.0,9.0,7.0,2016-01-16
2525,E,9.0,2.0,9.0,2016-01-15
2527,E,8.0,4.0,3.0,2016-01-14
2529,E,3.0,9.0,1.0,2016-01-13
2531,E,9.0,3.0,7.0,2016-01-12
2533,E,9.0,1.0,3.0,2016-01-11
2535,E,7.0,5.0,9.0,2016-01-10
2537,E,3.0,8.0,3.0,2016-01-09
2539,E,7.0,5.0,5.0,2016-01-08
2541,E,9.0,4.0,1.0,2016-01-07
2543,E,6.0,8.0,7.0,2016-01-06
2545,E,7.0,0.0,6.0,2016-01-05
2547,E,8.0,0.0,8.0,2016-01-04
2549,E,3.0,5.0,7.0,2016-01-03
2551,E,5.0,4.0,0.0,2016-01-02
2553,E,8.0,9.0,6.0,2016-01-01
2555,E,4.0,3.0,6.0,2015-12-31
2557,E,1.0,4.0,7.0,2015-12-30
2559,E,1.0,3.0,8.0,2015-12-29
2561,E,1.0,6.0,1.0,2015-12-28
2563,E,7.0,9.0,9.0,2015-12-27
2565,E,3.0,0.0,3.0,2015-12-26
2567,E,9.0,7.0,1.0,2015-12-25
2569,E,0.0,0.0,2.0,2015-12-24
2571,E,1.0,2.0,9.0,2015-12-23
2573,E,7.0,3.0,5.0,2015-12-22
2575,E,9.0,0.0,2.0,2015-12-21
2577,E,7.0,6.0,4.0,2015-12-20
2579,E,2.0,6.0,8.0,2015-12-19
2581,E,7.0,2.0,6.0,2015-12-18
2583,E,0.0,2.0,7.0,2015-12-17
2585,E,7.0,1.0,5.0,2015-12-16
2587,E,7.0,5.0,3.0,2015-12-15
2589,E,7.0,1.0,9.0,2015-12-14
2591,E,1.0,4.0,0.0,2015-12-13
2593,E,1.0,9.0,5.0,2015-12-12
2595,E,6.0,8.0,5.0,2015-12-11
2597,E,6.0,2.0,5.0,2015-12-10
2599,E,4.0,3.0,5.0,2015-12-09
2601,E,0.0,2.0,5.0,2015-12-08
2603,E,4.0,1.0,6.0,2015-12-07
2605,E,1.0,2.0,5.0,2015-12-06
2607,E,8.0,7.0,6.0,2015-12-05
2609,E,5.0,6.0,5.0,2015-12-04
2611,E,9.0,2.0,0.0,2015-12-03
2613,E,9.0,5.0,7.0,2015-12-02
2615,E,9.0,3.0,0.0,2015-12-01
2617,E,4.0,2.0,0.0,2015-11-30
2619,E,5.0,0.0,8.0,2015-11-29
2621,E,6.0,6.0,6.0,2015-11-28
2623,E,2.0,7.0,9.0,2015-11-27
2625,E,8.0,6.0,3.0,2015-11-26
2627,E,3.0,8.0,7.0,2015-11-25
2629,E,2.0,0.0,1.0,2015-11-24
2631,E,9.0,6.0,0.0,2015-11-23
2633,E,7.0,2.0,4.0,2015-11-22
2635,E,3.0,3.0,7.0,2015-11-21
2637,E,2.0,9.0,9.0,2015-11-20
2639,E,9.0,1.0,1.0,2015-11-19
2641,E,7.0,6.0,5.0,2015-11-18
2643,E,7.0,2.0,8.0,2015-11-17
2645,E,7.0,4.0,1.0,2015-11-16
2647,E,2.0,1.0,6.0,2015-11-15
2649,E,5.0,4.0,2.0,2015-11-14
2651,E,6.0,2.0,7.0,2015-11-13
2653,E,9.0,5.0,6.0,2015-11-12
2655,E,1.0,7.0,3.0,2015-11-11
2657,E,3.0,7.0,4.0,2015-11-10
2659,E,0.0,5.0,4.0,2015-11-09
2661,E,1.0,7.0,6.0,2015-11-08
2663,E,9.0,6.0,6.0,2015-11-07
2665,E,2.0,4.0,1.0,2015-11-06
2667,E,3.0,2.0,4.0,2015-11-05
2669,E,9.0,1.0,0.0,2015-11-04
2671,E,6.0,3.0,4.0,2015-11-03
2673,E,1.0,0.0,9.0,2015-11-02
2675,E,6.0,6.0,5.0,2015-11-01
2677,E,6.0,7.0,3.0,2015-10-31
2679,E,7.0,6.0,7.0,2015-10-30
2681,E,9.0,3.0,2.0,2015-10-29
2683,E,6.0,2.0,0.0,2015-10-28
2685,E,3.0,4.0,6.0,2015-10-27
2687,E,4.0,0.0,1.0,2015-10-26
2689,E,3.0,4.0,1.0,2015-10-25
2691,E,1.0,7.0,8.0,2015-10-24
2693,E,3.0,5.0,1.0,2015-10-23
2695,E,9.0,5.0,1.0,2015-10-22
2697,E,8.0,5.0,3.0,2015-10-21
2699,E,8.0,2.0,6.0,2015-10-20
2701,E,1.0,0.0,8.0,2015-10-19
2703,E,3.0,3.0,3.0,2015-10-18
2705,E,5.0,6.0,9.0,2015-10-17
2707,E,0.0,7.0,6.0,2015-10-16
2709,E,5.0,5.0,8.0,2015-10-15
2711,E,6.0,6.0,7.0,2015-10-14
2713,E,3.0,0.0,1.0,2015-10-13
2715,E,8.0,2.0,6.0,2015-10-12
2717,E,5.0,6.0,8.0,2015-10-11
2719,E,9.0,7.0,1.0,2015-10-10
2721,E,5.0,2.0,9.0,2015-10-09
2723,E,4.0,5.0,4.0,2015-10-08
2725,E,8.0,0.0,9.0,2015-10-07
2727,E,0.0,4.0,2.0,2015-10-06
2729,E,6.0,5.0,3.0,2015-10-05
2731,E,6.0,1.0,0.0,2015-10-04
2733,E,8.0,2.0,4.0,2015-10-03
2735,E,7.0,6.0,9.0,2015-10-02
2737,E,6.0,7.0,1.0,2015-10-01
2739,E,8.0,2.0,6.0,2015-09-30
2741,E,2.0,6.0,2.0,2015-09-29
2743,E,8.0,9.0,0.0,2015-09-28
2745,E,3.0,2.0,3.0,2015-09-27
2747,E,6.0,1.0,7.0,2015-09-26
2749,E,0.0,6.0,8.0,2015-09-25
2751,E,9.0,2.0,1.0,2015-09-24
2753,E,3.0,6.0,2.0,2015-09-23
2755,E,3.0,5.0,1.0,2015-09-22
2757,E,8.0,4.0,3.0,2015-09-21
2759,E,2.0,8.0,6.0,2015-09-20
2761,E,9.0,6.0,8.0,2015-09-19
2763,E,1.0,9.0,7.0,2015-09-18
2765,E,8.0,6.0,7.0,2015-09-17
2767,E,9.0,1.0,7.0,2015-09-16
2769,E,5.0,9.0,6.0,2015-09-15
2771,E,8.0,3.0,0.0,2015-09-14
2773,E,6.0,8.0,6.0,2015-09-13
2775,E,9.0,4.0,0.0,2015-09-12
2777,E,9.0,7.0,7.0,2015-09-11
2779,E,3.0,4.0,8.0,2015-09-10
2781,E,1.0,6.0,6.0,2015-09-09
2783,E,1.0,5.0,4.0,2015-09-08
2785,E,4.0,1.0,0.0,2015-09-07
2787,E,5.0,8.0,2.0,2015-09-06
2789,E,7.0,6.0,1.0,2015-09-05
2791,E,9.0,9.0,5.0,2015-09-04
2793,E,9.0,7.0,0.0,2015-09-03
2795,E,1.0,8.0,8.0,2015-09-02
2797,E,2.0,7.0,5.0,2015-09-01
2799,E,0.0,0.0,5.0,2015-08-31
2801,E,3.0,5.0,3.0,2015-08-30
2803,E,3.0,2.0,6.0,2015-08-29
2805,E,8.0,6.0,4.0,2015-08-28
2807,E,5.0,7.0,2.0,2015-08-27
2809,E,9.0,3.0,4.0,2015-08-26
2811,E,7.0,5.0,9.0,2015-08-25
2813,E,7.0,1.0,7.0,2015-08-24
2815,E,5.0,4.0,2.0,2015-08-23
2817,E,6.0,8.0,5.0,2015-08-22
2819,E,4.0,0.0,9.0,2015-08-21
2821,E,6.0,4.0,0.0,2015-08-20
2823,E,9.0,4.0,7.0,2015-08-19
2825,E,0.0,2.0,9.0,2015-08-18
2827,E,9.0,6.0,5.0,2015-08-17
2829,E,8.0,3.0,8.0,2015-08-16
2831,E,1.0,4.0,6.0,2015-08-15
2833,E,7.0,1.0,7.0,2015-08-14
2835,E,2.0,0.0,1.0,2015-08-13
2837,E,5.0,3.0,7.0,2015-08-12
2839,E,5.0,4.0,8.0,2015-08-11
2841,E,9.0,9.0,6.0,2015-08-10
2843,E,0.0,0.0,9.0,2015-08-09
2845,E,0.0,0.0,5.0,2015-08-08
2847,E,2.0,6.0,9.0,2015-08-07
2849,E,6.0,1.0,3.0,2015-08-06
2851,E,9.0,9.0,1.0,2015-08-05
2853,E,2.0,0.0,7.0,2015-08-04
2855,E,6.0,8.0,6.0,2015-08-03
2857,E,5.0,4.0,1.0,2015-08-02
2859,E,6.0,9.0,1.0,2015-08-01
2861,E,8.0,9.0,2.0,2015-07-31
2863,E,3.0,3.0,6.0,2015-07-30
2865,E,5.0,2.0,4.0,2015-07-29
2867,E,6.0,8.0,7.0,2015-07-28
2869,E,6.0,4.0,0.0,2015-07-27
2871,E,2.0,5.0,1.0,2015-07-26
2873,E,0.0,5.0,6.0,2015-07-25
2875,E,0.0,7.0,0.0,2015-07-24
2877,E,0.0,9.0,9.0,2015-07-23
2879,E,3.0,4.0,5.0,2015-07-22
2881,E,2.0,0.0,4.0,2015-07-21
2883,E,7.0,7.0,4.0,2015-07-20
2885,E,9.0,5.0,8.0,2015-07-19
2887,E,2.0,5.0,4.0,2015-07-18
2889,E,8.0,5.0,5.0,2015-07-17
2891,E,2.0,1.0,8.0,2015-07-16
2893,E,0.0,2.0,6.0,2015-07-15
2895,E,6.0,1.0,5.0,2015-07-14
2897,E,6.0,9.0,5.0,2015-07-13
2899,E,1.0,8.0,2.0,2015-07-12
2901,E,2.0,7.0,7.0,2015-07-11
2903,E,2.0,3.0,4.0,2015-07-10
2905,E,5.0,9.0,1.0,2015-07-09
2907,E,9.0,8.0,2.0,2015-07-08
2909,E,5.0,4.0,8.0,2015-07-07
2911,E,9.0,8.0,3.0,2015-07-06
2913,E,3.0,6.0,1.0,2015-07-05
2915,E,2.0,8.0,9.0,2015-07-04
2917,E,9.0,3.0,8.0,2015-07-03
2919,E,9.0,9.0,5.0,2015-07-02
2921,E,7.0,6.0,4.0,2015-07-01
2923,E,6.0,0.0,8.0,2015-06-30
2925,E,2.0,7.0,4.0,2015-06-29
2927,E,6.0,7.0,2.0,2015-06-28
2929,E,0.0,8.0,9.0,2015-06-27
2931,E,4.0,6.0,6.0,2015-06-26
2933,E,5.0,8.0,7.0,2015-06-25
2935,E,0.0,7.0,5.0,2015-06-24
2937,E,6.0,8.0,7.0,2015-06-23
2939,E,1.0,1.0,3.0,2015-06-22
2941,E,3.0,1.0,4.0,2015-06-21
2943,E,7.0,3.0,2.0,2015-06-20
2945,E,5.0,1.0,5.0,2015-06-19
2947,E,8.0,5.0,4.0,2015-06-18
2949,E,6.0,1.0,2.0,2015-06-17
2951,E,8.0,4.0,0.0,2015-06-16
2953,E,2.0,7.0,2.0,2015-06-15
2955,E,3.0,3.0,5.0,2015-06-14
2957,E,4.0,4.0,3.0,2015-06-13
2959,E,7.0,8.0,3.0,2015-06-12
2961,E,6.0,6.0,0.0,2015-06-11
2963,E,4.0,7.0,7.0,2015-06-10
2965,E,6.0,2.0,9.0,2015-06-09
2967,E,0.0,9.0,1.0,2015-06-08
2969,E,6.0,0.0,3.0,2015-06-07
2971,E,0.0,5.0,5.0,2015-06-06
2973,E,7.0,3.0,2.0,2015-06-05
2975,E,7.0,1.0,7.0,2015-06-04
2977,E,4.0,9.0,8.0,2015-06-03
2979,E,6.0,8.0,3.0,2015-06-02
2981,E,1.0,7.0,4.0,2015-06-01
2983,E,3.0,9.0,9.0,2015-05-31
2985,E,6.0,6.0,8.0,2015-05-30
2987,E,4.0,7.0,9.0,2015-05-29
2989,E,9.0,4.0,4.0,2015-05-28
2991,E,2.0,3.0,3.0,2015-05-27
2993,E,4.0,1.0,3.0,2015-05-26
2995,E,9.0,4.0,9.0,2015-05-25
2997,E,5.0,9.0,5.0,2015-05-24
2999,E,7.0,5.0,5.0,2015-05-23
3001,E,0.0,4.0,3.0,2015-05-22
3003,E,5.0,8.0,8.0,2015-05-21
3005,E,8.0,8.0,2.0,2015-05-20
3007,E,8.0,9.0,3.0,2015-05-19
3009,E,8.0,1.0,5.0,2015-05-18
3011,E,1.0,2.0,8.0,2015-05-17
3013,E,1.0,6.0,2.0,2015-05-16
3015,E,2.0,3.0,9.0,2015-05-15
3017,E,7.0,1.0,3.0,2015-05-14
3019,E,3.0,9.0,7.0,2015-05-13
3021,E,9.0,8.0,4.0,2015-05-12
3023,E,4.0,5.0,5.0,2015-05-11
3025,E,5.0,9.0,1.0,2015-05-10
3027,E,2.0,0.0,0.0,2015-05-09
3029,E,4.0,2.0,6.0,2015-05-08
3031,E,8.0,7.0,4.0,2015-05-07
3033,E,7.0,3.0,5.0,2015-05-06
3035,E,3.0,9.0,1.0,2015-05-05
3037,E,8.0,5.0,8.0,2015-05-04
3039,E,0.0,6.0,3.0,2015-05-03
3041,E,3.0,8.0,0.0,2015-05-02
3043,E,7.0,6.0,6.0,2015-05-01
3045,E,5.0,3.0,1.0,2015-04-30
3047,E,5.0,3.0,0.0,2015-04-29
3049,E,5.0,5.0,7.0,2015-04-28
3051,E,2.0,0.0,4.0,2015-04-27
3053,E,8.0,2.0,8.0,2015-04-26
3055,E,2.0,2.0,4.0,2015-04-25
3057,E,1.0,4.0,9.0,2015-04-24
3059,E,4.0,8.0,0.0,2015-04-23
3061,E,8.0,1.0,0.0,2015-04-22
3063,E,7.0,7.0,6.0,2015-04-21
3065,E,8.0,8.0,4.0,2015-04-20
3067,E,9.0,1.0,3.0,2015-04-19
3069,E,4.0,4.0,1.0,2015-04-18
3071,E,1.0,7.0,9.0,2015-04-17
3073,E,3.0,2.0,3.0,2015-04-16
3075,E,3.0,2.0,1.0,2015-04-15
3077,E,8.0,8.0,0.0,2015-04-14
3079,E,7.0,0.0,0.0,2015-04-13
3081,E,7.0,9.0,8.0,2015-04-12
3083,E,6.0,8.0,2.0,2015-04-11
3085,E,0.0,4.0,8.0,2015-04-10
3087,E,7.0,9.0,4.0,2015-04-09
3089,E,6.0,8.0,1.0,2015-04-08
3091,E,0.0,9.0,3.0,2015-04-07
3093,E,6.0,1.0,0.0,2015-04-06
3095,E,9.0,5.0,4.0,2015-04-05
3097,E,1.0,5.0,1.0,2015-04-04
3099,E,6.0,1.0,0.0,2015-04-03
3101,E,0.0,9.0,0.0,2015-04-02
3103,E,6.0,5.0,5.0,2015-04-01
3105,E,4.0,4.0,7.0,2015-03-31
3107,E,3.0,3.0,9.0,2015-03-30
3109,E,8.0,9.0,1.0,2015-03-29
3111,E,0.0,9.0,7.0,2015-03-28
3113,E,2.0,1.0,7.0,2015-03-27
3115,E,2.0,6.0,8.0,2015-03-26
3117,E,6.0,0.0,9.0,2015-03-25
3119,E,7.0,4.0,8.0,2015-03-24
3121,E,9.0,6.0,3.0,2015-03-23
3123,E,1.0,9.0,3.0,2015-03-22
3125,E,0.0,6.0,1.0,2015-03-21
3127,E,6.0,3.0,8.0,2015-03-20
3129,E,5.0,4.0,0.0,2015-03-19
3131,E,7.0,3.0,7.0,2015-03-18
3133,E,6.0,4.0,0.0,2015-03-17
3135,E,4.0,2.0,1.0,2015-03-16
3137,E,1.0,0.0,7.0,2015-03-15
3139,E,0.0,1.0,7.0,2015-03-14
3141,E,1.0,6.0,1.0,2015-03-13
3143,E,0.0,7.0,0.0,2015-03-12
3145,E,2.0,4.0,0.0,2015-03-11
3147,E,4.0,1.0,8.0,2015-03-10
3149,E,4.0,0.0,0.0,2015-03-09
3151,E,4.0,5.0,6.0,2015-03-08
3153,E,5.0,8.0,4.0,2015-03-07
3155,E,7.0,4.0,2.0,2015-03-06
3157,E,3.0,5.0,4.0,2015-03-05
3159,E,2.0,1.0,2.0,2015-03-04
3161,E,6.0,5.0,8.0,2015-03-03
3163,E,7.0,4.0,5.0,2015-03-02
3165,E,6.0,5.0,7.0,2015-03-01
3167,E,5.0,3.0,4.0,2015-02-28
3169,E,8.0,6.0,0.0,2015-02-27
3171,E,0.0,4.0,6.0,2015-02-26
3173,E,6.0,2.0,6.0,2015-02-25
3175,E,5.0,0.0,4.0,2015-02-24
3177,E,3.0,5.0,4.0,2015-02-23
3179,E,4.0,2.0,0.0,2015-02-22
3181,E,3.0,8.0,5.0,2015-02-21
3183,E,0.0,3.0,4.0,2015-02-20
3185,E,2.0,1.0,9.0,2015-02-19
3187,E,3.0,6.0,8.0,2015-02-18
3189,E,4.0,8.0,0.0,2015-02-17
3191,E,8.0,3.0,0.0,2015-02-16
3193,E,0.0,0.0,3.0,2015-02-15
3195,E,1.0,9.0,2.0,2015-02-14
3197,E,9.0,4.0,0.0,2015-02-13
3199,E,6.0,3.0,6.0,2015-02-12
3201,E,6.0,6.0,0.0,2015-02-11
3203,E,6.0,7.0,5.0,2015-02-10
3205,E,8.0,5.0,2.0,2015-02-09
3207,E,9.0,8.0,0.0,2015-02-08
3209,E,4.0,7.0,5.0,2015-02-07
3211,E,3.0,7.0,9.0,2015-02-06
3213,E,3.0,1.0,9.0,2015-02-05
3215,E,0.0,5.0,4.0,2015-02-04
3217,E,3.0,1.0,7.0,2015-02-03
3219,E,6.0,7.0,1.0,2015-02-02
3221,E,5.0,9.0,3.0,2015-02-01
3223,E,1.0,1.0,7.0,2015-01-31
3225,E,0.0,7.0,5.0,2015-01-30
3227,E,5.0,1.0,3.0,2015-01-29
3229,E,4.0,5.0,0.0,2015-01-28
3231,E,0.0,4.0,3.0,2015-01-27
3233,E,0.0,6.0,9.0,2015-01-26
3235,E,1.0,8.0,4.0,2015-01-25
3237,E,6.0,1.0,6.0,2015-01-24
3239,E,5.0,2.0,8.0,2015-01-23
3241,E,3.0,1.0,8.0,2015-01-22
3243,E,8.0,0.0,3.0,2015-01-21
3245,E,5.0,1.0,9.0,2015-01-20
3247,E,2.0,3.0,0.0,2015-01-19
3249,E,5.0,2.0,8.0,2015-01-18
3251,E,2.0,1.0,9.0,2015-01-17
3253,E,4.0,8.0,8.0,2015-01-16
3255,E,2.0,3.0,9.0,2015-01-15
3257,E,6.0,9.0,0.0,2015-01-14
3259,E,3.0,7.0,4.0,2015-01-13
3261,E,1.0,3.0,2.0,2015-01-12
3263,E,5.0,7.0,8.0,2015-01-11
3265,E,5.0,0.0,4.0,2015-01-10
3267,E,8.0,5.0,6.0,2015-01-09
3269,E,0.0,8.0,4.0,2015-01-08
3271,E,1.0,9.0,5.0,2015-01-07
3273,E,7.0,5.0,7.0,2015-01-06
3275,E,3.0,1.0,6.0,2015-01-05
3277,E,8.0,1.0,7.0,2015-01-04
3279,E,5.0,0.0,3.0,2015-01-03
3281,E,7.0,8.0,9.0,2015-01-02
3283,E,0.0,7.0,8.0,2015-01-01
3285,E,7.0,0.0,7.0,2014-12-31
3287,E,2.0,0.0,5.0,2014-12-30
3289,E,0.0,9.0,9.0,2014-12-29
3291,E,5.0,9.0,9.0,2014-12-28
3293,E,8.0,0.0,5.0,2014-12-27
3295,E,8.0,4.0,2.0,2014-12-26
3297,E,3.0,0.0,4.0,2014-12-25
3299,E,2.0,3.0,9.0,2014-12-24
3301,E,0.0,2.0,0.0,2014-12-23
3303,E,7.0,5.0,7.0,2014-12-22
3305,E,6.0,3.0,5.0,2014-12-21
3307,E,9.0,8.0,1.0,2014-12-20
3309,E,3.0,7.0,8.0,2014-12-19
3311,E,6.0,7.0,7.0,2014-12-18
3313,E,2.0,1.0,1.0,2014-12-17
3315,E,9.0,4.0,4.0,2014-12-16
3317,E,5.0,3.0,4.0,2014-12-15
3319,E,1.0,8.0,0.0,2014-12-14
3321,E,1.0,7.0,0.0,2014-12-13
3323,E,8.0,0.0,0.0,2014-12-12
3325,E,9.0,0.0,1.0,2014-12-11
3327,E,8.0,6.0,0.0,2014-12-10
3329,E,2.0,9.0,3.0,2014-12-09
3331,E,4.0,9.0,0.0,2014-12-08
3333,E,5.0,0.0,0.0,2014-12-07
3335,E,1.0,5.0,8.0,2014-12-06
3337,E,6.0,7.0,4.0,2014-12-05
3339,E,7.0,1.0,4.0,2014-12-04
3341,E,5.0,0.0,9.0,2014-12-03
3343,E,1.0,4.0,4.0,2014-12-02
3345,E,1.0,0.0,1.0,2014-12-01
3347,E,9.0,2.0,8.0,2014-11-30
3349,E,7.0,1.0,2.0,2014-11-29
3351,E,2.0,6.0,3.0,2014-11-28
3353,E,8.0,2.0,1.0,2014-11-27
3355,E,6.0,5.0,4.0,2014-11-26
3357,E,1.0,2.0,2.0,2014-11-25
3359,E,0.0,9.0,5.0,2014-11-24
3361,E,5.0,7.0,2.0,2014-11-23
3363,E,1.0,9.0,6.0,2014-11-22
3365,E,9.0,9.0,3.0,2014-11-21
3367,E,8.0,0.0,3.0,2014-11-20
3369,E,9.0,0.0,0.0,2014-11-19
3371,E,4.0,4.0,7.0,2014-11-18
3373,E,2.0,6.0,0.0,2014-11-17
3375,E,2.0,1.0,3.0,2014-11-16
3377,E,8.0,2.0,5.0,2014-11-15
3379,E,8.0,6.0,4.0,2014-11-14
3381,E,3.0,3.0,9.0,2014-11-13
3383,E,3.0,5.0,4.0,2014-11-12
3385,E,7.0,5.0,3.0,2014-11-11
3387,E,0.0,0.0,4.0,2014-11-10
3389,E,2.0,1.0,3.0,2014-11-09
3391,E,4.0,0.0,7.0,2014-11-08
3393,E,1.0,0.0,7.0,2014-11-07
3395,E,5.0,5.0,2.0,2014-11-06
3397,E,5.0,2.0,7.0,2014-11-05
3399,E,0.0,8.0,4.0,2014-11-04
3401,E,4.0,1.0,8.0,2014-11-03
3403,E,9.0,6.0,2.0,2014-11-02
3405,E,3.0,0.0,5.0,2014-11-01
3407,E,2.0,1.0,9.0,2014-10-31
3409,E,1.0,2.0,0.0,2014-10-30
3411,E,5.0,2.0,1.0,2014-10-29
3413,E,9.0,3.0,5.0,2014-10-28
3415,E,7.0,7.0,9.0,2014-10-27
3417,E,5.0,0.0,0.0,2014-10-26
3419,E,5.0,8.0,1.0,2014-10-25
3421,E,8.0,6.0,5.0,2014-10-24
3423,E,4.0,8.0,2.0,2014-10-23
3425,E,4.0,9.0,1.0,2014-10-22
3427,E,0.0,3.0,3.0,2014-10-21
3429,E,5.0,0.0,6.0,2014-10-20
3431,E,9.0,0.0,6.0,2014-10-19
3433,E,3.0,3.0,2.0,2014-10-18
3435,E,7.0,7.0,7.0,2014-10-17
3437,E,5.0,6.0,0.0,2014-10-16
3439,E,4.0,5.0,1.0,2014-10-15
3441,E,0.0,9.0,0.0,2014-10-14
3443,E,8.0,4.0,9.0,2014-10-13
3445,E,7.0,4.0,8.0,2014-10-12
3447,E,7.0,9.0,3.0,2014-10-11
3449,E,6.0,1.0,7.0,2014-10-10
3451,E,7.0,9.0,0.0,2014-10-09
3453,E,5.0,9.0,0.0,2014-10-08
3455,E,0.0,8.0,6.0,2014-10-07
3457,E,3.0,0.0,6.0,2014-10-06
3459,E,6.0,5.0,5.0,2014-10-05
3461,E,1.0,3.0,9.0,2014-10-04
3463,E,8.0,8.0,6.0,2014-10-03
3465,E,6.0,8.0,3.0,2014-10-02
3467,E,3.0,7.0,1.0,2014-10-01
3469,E,9.0,6.0,7.0,2014-09-30
3471,E,2.0,1.0,6.0,2014-09-29
3473,E,7.0,0.0,1.0,2014-09-28
3475,E,6.0,3.0,3.0,2014-09-27
3477,E,9.0,7.0,6.0,2014-09-26
3479,E,7.0,0.0,4.0,2014-09-25
3481,E,9.0,4.0,6.0,2014-09-24
3483,E,4.0,2.0,5.0,2014-09-23
3485,E,9.0,0.0,6.0,2014-09-22
3487,E,0.0,4.0,7.0,2014-09-21
3489,E,2.0,1.0,7.0,2014-09-20
3491,E,5.0,9.0,2.0,2014-09-19
3493,E,0.0,6.0,8.0,2014-09-18
3495,E,0.0,1.0,0.0,2014-09-17
3497,E,8.0,5.0,7.0,2014-09-16
3499,E,9.0,3.0,9.0,2014-09-15
